elapsed_s,phase,rot_x_100,rot_y_100,lin_x_100,lin_y_100,pen,bias_z_100,num_fields,line_kind,raw
14.632818,0,-1.61,0.90,-5.89,-33.13,0,938.50,6,imu,"-1.61,0.90,-5.89,-33.13,0,938.50"
14.643074,0,,,,,,,3,text,"-1.37,0.04,-"
14.645848,0,,,,,,,4,text,"19.65,-27.15,0,938.50"
14.656073,0,-1.37,-1.18,-41.66,-37.91,0,938.50,6,imu,"-1.37,-1.18,-41.66,-37.91,0,938.50"
14.669049,0,-0.51,-1.30,-38.79,-38.87,0,938.50,6,imu,"-0.51,-1.30,-38.79,-38.87,0,938.50"
14.679527,0,-0.27,-0.32,-30.18,-36.00,0,938.50,6,imu,"-0.27,-0.32,-30.18,-36.00,0,938.50"
14.692502,0,-0.14,0.53,-10.80,-35.16,0,938.50,6,imu,"-0.14,0.53,-10.80,-35.16,0,938.50"
14.705516,0,-0.02,-0.93,-3.14,-30.14,0,938.50,6,imu,"-0.02,-0.93,-3.14,-30.14,0,938.50"
14.715987,0,-0.88,-1.91,7.87,-27.51,0,938.50,6,imu,"-0.88,-1.91,7.87,-27.51,0,938.50"
14.728534,0,-2.59,-2.03,-9.00,-30.14,0,938.50,6,imu,"-2.59,-2.03,-9.00,-30.14,0,938.50"
14.741293,0,-2.59,-2.03,-21.44,-23.92,0,938.50,6,imu,"-2.59,-2.03,-21.44,-23.92,0,938.50"
14.751809,0,-2.59,-2.89,-30.89,-21.76,0,938.50,6,imu,"-2.59,-2.89,-30.89,-21.76,0,938.50"
14.764848,0,-2.59,-3.99,-30.30,-25.95,0,938.50,6,imu,"-2.59,-3.99,-30.30,-25.95,0,938.50"
14.775163,0,,,,,,,3,text,"-2.83,-4.60,-27.54"
14.775352,0,,,,,,,4,text,",-32.53,0,938.50"
14.788337,0,-2.95,-4.60,-18.21,-39.71,0,938.50,6,imu,"-2.95,-4.60,-18.21,-39.71,0,938.50"
14.801333,0,-2.83,-4.96,-3.26,-43.54,0,938.50,6,imu,"-2.83,-4.96,-3.26,-43.54,0,938.50"
14.811773,0,-3.08,-7.16,6.67,-48.20,0,938.50,6,imu,"-3.08,-7.16,6.67,-48.20,0,938.50"
14.824348,0,-3.32,-5.94,-6.49,-49.28,0,938.50,6,imu,"-3.32,-5.94,-6.49,-49.28,0,938.50"
14.837337,0,-3.20,-5.33,-26.95,-48.20,0,938.50,6,imu,"-3.20,-5.33,-26.95,-48.20,0,938.50"
14.847790,0,-2.10,-5.58,-54.94,-46.65,0,938.50,6,imu,"-2.10,-5.58,-54.94,-46.65,0,938.50"
14.860795,0,-1.85,-4.84,-43.46,-53.83,0,938.50,6,imu,"-1.85,-4.84,-43.46,-53.83,0,938.50"
14.871281,0,-1.12,-3.99,-27.90,-52.51,0,938.50,6,imu,"-1.12,-3.99,-27.90,-52.51,0,938.50"
14.884263,0,-0.51,-3.74,-16.78,-45.33,0,938.50,6,imu,"-0.51,-3.74,-16.78,-45.33,0,938.50"
14.897270,0,-1.37,-4.23,-6.01,-38.27,0,938.50,6,imu,"-1.37,-4.23,-6.01,-38.27,0,938.50"
14.907748,0,-2.34,-4.48,-18.45,-41.03,0,938.50,6,imu,"-2.34,-4.48,-18.45,-41.03,0,938.50"
14.920428,0,-2.71,-3.99,-33.89,-51.67,0,938.50,6,imu,"-2.71,-3.99,-33.89,-51.67,0,938.50"
14.933559,0,-1.24,-4.35,-45.37,-47.61,0,938.50,6,imu,"-1.24,-4.35,-45.37,-47.61,0,938.50"
14.944063,0,-1.12,-3.38,-41.78,-53.47,0,938.50,6,imu,"-1.12,-3.38,-41.78,-53.47,0,938.50"
14.957091,0,-0.63,-2.77,-37.71,-56.94,0,938.50,6,imu,"-0.63,-2.77,-37.71,-56.94,0,938.50"
14.967545,0,-0.14,-1.42,-32.81,-53.23,0,938.50,6,imu,"-0.14,-1.42,-32.81,-53.23,0,938.50"
14.980550,0,-0.51,-1.67,-40.35,-50.60,0,938.50,6,imu,"-0.51,-1.67,-40.35,-50.60,0,938.50"
14.993562,0,-1.37,-1.54,-55.90,-50.72,0,938.50,6,imu,"-1.37,-1.54,-55.90,-50.72,0,938.50"
15.004068,0,-1.98,-1.42,-43.46,-75.48,0,938.50,6,imu,"-1.98,-1.42,-43.46,-75.48,0,938.50"
15.017071,0,-0.63,-0.57,-25.15,-73.93,0,938.50,6,imu,"-0.63,-0.57,-25.15,-73.93,0,938.50"
15.027592,0,-0.75,1.02,-32.81,-64.95,0,938.50,6,imu,"-0.75,1.02,-32.81,-64.95,0,938.50"
15.040631,0,-1.37,3.10,-55.18,-61.72,0,938.50,6,imu,"-1.37,3.10,-55.18,-61.72,0,938.50"
15.053650,0,0.10,3.71,-68.58,-59.69,0,938.50,6,imu,"0.10,3.71,-68.58,-59.69,0,938.50"
15.064101,0,0.83,3.22,-56.50,-55.98,0,938.50,6,imu,"0.83,3.22,-56.50,-55.98,0,938.50"
15.077062,0,0.83,3.22,-34.96,-51.91,0,938.50,6,imu,"0.83,3.22,-34.96,-51.91,0,938.50"
15.087535,0,-0.27,4.93,-8.64,-35.76,0,938.50,6,imu,"-0.27,4.93,-8.64,-35.76,0,938.50"
15.100506,0,-0.88,4.32,-0.98,-28.34,0,938.50,6,imu,"-0.88,4.32,-0.98,-28.34,0,938.50"
15.113004,0,-1.12,2.85,-5.29,-25.35,0,938.50,6,imu,"-1.12,2.85,-5.29,-25.35,0,938.50"
